hour,fluid,used_coolprop,T_evap_sat_K,T_cond_sat_K,P_evap_kPa,P_cond_kPa,h1,h2s,h2,h3,T_source_in_C,T_geo_in_C,Q_geo_kW,flow_src_kgps,flow_load_kgps,T_outdoor_C
2010,R134a,1,286.210611,331.150000,458.667519,1603.607823,410786.217330,437412.380431,448823.593188,239176.593122,18.0606,10.1229,331.9758,10.0000,23.0000,0.0000
2011,R134a,1,286.214657,331.150000,458.728016,1603.607823,410788.542356,437411.844979,448821.831818,241797.030180,18.0647,10.2508,326.7966,10.0000,23.0000,-0.9000
2012,R134a,1,286.222712,331.150000,458.848502,1603.607823,410793.172099,437410.778872,448818.324632,243143.041174,18.0727,10.3208,324.2060,10.0000,23.0000,-2.0000
2013,R134a,1,286.233809,331.150000,459.014511,1603.607823,410799.549272,437409.310635,448813.494076,243520.015358,18.0838,10.3468,323.5840,10.0000,23.0000,-3.0000
2014,R134a,1,286.246747,331.150000,459.208131,1603.607823,410806.984482,437407.599180,448807.862622,243097.422691,18.0967,10.3359,324.5799,10.0000,23.0000,-3.8000
2015,R134a,1,286.260365,331.150000,459.411996,1603.607823,410814.810022,437405.798315,448801.936155,241961.757229,18.1104,10.2915,327.0093,10.0000,23.0000,-4.6000
2016,R134a,1,286.273635,331.150000,459.610710,1603.607823,410822.434837,437404.044075,448796.162320,240265.415181,18.1236,10.2199,330.5573,10.0000,23.0000,-5.3000
2017,R134a,1,286.285669,331.150000,459.790977,1603.607823,410829.349264,437402.453641,448790.926946,238002.560321,18.1357,10.1208,335.2260,10.0000,23.0000,-6.1000
2018,R134a,1,286.295723,331.150000,459.941619,1603.607823,410835.125460,437401.125288,448786.553786,235139.272894,18.1457,9.9910,341.0750,10.0000,23.0000,-7.0000
2019,R134a,1,286.303140,331.150000,460.052783,1603.607823,410839.386849,437400.145452,448783.327711,231646.777566,18.1531,9.8291,348.1535,10.0000,23.0000,-8.0000
2020,R134a,1,286.307301,331.150000,460.115152,1603.607823,410841.777300,437399.595866,448781.518108,227578.541335,18.1573,9.6379,356.3459,10.0000,23.0000,-9.0000
2021,R134a,1,286.307617,331.150000,460.119883,1603.607823,410841.958604,437399.554184,448781.380862,223074.027848,18.1576,9.4225,365.3633,10.0000,23.0000,-9.9000
2022,R134a,1,286.303567,331.150000,460.059176,1603.607823,410839.631856,437400.089121,448783.142235,218308.567835,18.1536,9.1923,374.8446,10.0000,23.0000,-10.5000
2023,R134a,1,286.294762,331.150000,459.927224,1603.607823,410834.573558,437401.252199,448786.971616,213746.546884,18.1448,8.9686,383.8515,10.0000,23.0000,-10.7000
2024,R134a,1,286.281034,331.150000,459.721536,1603.607823,410826.686030,437403.066188,448792.943399,209930.209395,18.1310,8.7769,391.2938,10.0000,23.0000,-10.4000
2025,R134a,1,286.262575,331.150000,459.445080,1603.607823,410816.079688,437405.506174,448800.974668,207131.839366,18.1126,8.6313,396.6286,10.0000,23.0000,-9.6000
2026,R134a,1,286.240013,331.150000,459.107350,1603.607823,410803.114719,437408.489881,448810.793522,205594.343620,18.0900,8.5429,399.3811,10.0000,23.0000,-8.4000
2027,R134a,1,286.214347,331.150000,458.723379,1603.607823,410788.364162,437411.886016,448821.966810,205476.214334,18.0643,8.5203,399.2534,10.0000,23.0000,-6.9000
2028,R134a,1,286.186859,331.150000,458.312427,1603.607823,410772.564692,437415.525423,448833.937164,206916.712435,18.0369,8.5708,395.9930,10.0000,23.0000,-5.1000
2029,R134a,1,286.159038,331.150000,457.896791,1603.607823,410756.572098,437419.211185,448846.056508,210055.334219,18.0090,8.7012,389.3516,10.0000,23.0000,-3.0000
2030,R134a,1,286.132526,331.150000,457.500959,1603.607823,410741.329327,437422.725889,448857.610131,214959.986416,17.9825,8.9169,379.2254,10.0000,23.0000,-0.7000
2031,R134a,1,286.109047,331.150000,457.150631,1603.607823,410727.828859,437425.840281,448867.845176,221005.648917,17.9590,9.1880,366.8872,10.0000,23.0000,0.9000
2032,R134a,1,286.090241,331.150000,456.870185,1603.607823,410717.014648,437428.335956,448876.045088,226625.638362,17.9402,9.4416,355.4728,10.0000,23.0000,0.7000
2033,R134a,1,286.077248,331.150000,456.676506,1603.607823,410709.542745,437430.060806,448881.711403,231271.504412,17.9272,9.6527,346.0788,10.0000,23.0000,0.1000
2034,R134a,1,286.070279,331.150000,456.572643,1603.607823,410705.534656,437430.986222,448884.751179,234797.257527,17.9203,9.8153,338.9903,10.0000,23.0000,-0.7000
2035,R134a,1,286.068768,331.150000,456.550126,1603.607823,410704.665626,437431.186886,448885.410283,236982.565036,17.9188,9.9181,334.6323,10.0000,23.0000,-1.7000
2036,R134a,1,286.071684,331.150000,456.593570,1603.607823,410706.342306,437430.799737,448884.138635,238005.229145,17.9217,9.9682,332.6366,10.0000,23.0000,-2.7000
2037,R134a,1,286.077726,331.150000,456.683630,1603.607823,410709.817635,437429.997341,448881.502930,238111.010341,17.9277,9.9775,332.4993,10.0000,23.0000,-3.7000
2038,R134a,1,286.085566,331.150000,456.800482,1603.607823,410714.325924,437428.956586,448878.084012,237369.693976,17.9356,9.9484,334.0665,10.0000,23.0000,-4.6000
2039,R134a,1,286.093997,331.150000,456.926182,1603.607823,410719.174424,437427.837459,448874.407331,235936.286447,17.9440,9.8863,337.0171,10.0000,23.0000,-5.4000
2040,R134a,1,286.101960,331.150000,457.044933,1603.607823,410723.753747,437426.780623,448870.934998,233896.034158,17.9520,9.7949,341.1698,10.0000,23.0000,-6.2000
2041,R134a,1,286.108551,331.150000,457.143232,1603.607823,410727.543615,437425.906097,448868.061447,231311.659603,17.9586,9.6767,346.3894,10.0000,23.0000,-7.0000
2042,R134a,1,286.113009,331.150000,457.209745,1603.607823,410730.107575,437425.314515,448866.117489,228317.706940,17.9630,9.5380,352.3987,10.0000,23.0000,-7.7000
2043,R134a,1,286.114712,331.150000,457.235143,1603.607823,410731.086517,437425.088656,448865.375287,224971.257155,17.9647,9.3800,359.0753,10.0000,23.0000,-8.4000
2044,R134a,1,286.113172,331.150000,457.212177,1603.607823,410730.201290,437425.292893,448866.046437,221308.257525,17.9632,9.2053,366.3397,10.0000,23.0000,-9.1000
2045,R134a,1,286.108018,331.150000,457.135288,1603.607823,410727.237370,437425.976761,448868.293642,217513.141783,17.9580,9.0213,373.8177,10.0000,23.0000,-9.6000
2046,R134a,1,286.098982,331.150000,457.000528,1603.607823,410722.041508,437427.175763,448872.233301,213588.115150,17.9490,8.8286,381.4988,10.0000,23.0000,-10.0000
2047,R134a,1,286.085933,331.150000,456.805955,1603.607823,410714.537062,437428.907848,448877.923899,209876.111225,17.9359,8.6439,388.6966,10.0000,23.0000,-10.1000
2048,R134a,1,286.068876,331.150000,456.551729,1603.607823,410704.727496,437431.172599,448885.363358,206828.669089,17.9189,8.4877,394.5124,10.0000,23.0000,-9.8000
2049,R134a,1,286.048069,331.150000,456.241751,1603.607823,410692.759975,437433.936525,448894.440760,204640.549503,17.8981,8.3706,398.5631,10.0000,23.0000,-9.1000
2050,R134a,1,286.024124,331.150000,455.885229,1603.607823,410678.986424,437437.118868,448904.889916,204321.000503,17.8741,8.3395,398.8582,10.0000,23.0000,-8.1000
2051,R134a,1,285.997995,331.150000,455.496421,1603.607823,410663.954476,437440.593563,448916.296029,204526.980857,17.8480,8.3320,398.0804,10.0000,23.0000,-6.7000
2052,R134a,1,285.971001,331.150000,455.095021,1603.607823,410648.423502,437444.185370,448928.083313,206087.677757,17.8210,8.3875,394.6096,10.0000,23.0000,-4.9000
2053,R134a,1,285.944333,331.150000,454.698722,1603.607823,410633.077781,437447.736090,448939.732509,209336.397190,17.7943,8.5234,387.8102,10.0000,23.0000,-2.8000
2054,R134a,1,285.919328,331.150000,454.327383,1603.607823,410618.687571,437451.067313,448950.658631,214419.900829,17.7693,8.7464,377.4186,10.0000,23.0000,-0.4000
2055,R134a,1,285.897559,331.150000,454.004280,1603.607823,410606.157979,437453.969070,448960.173824,220802.972128,17.7476,9.0331,364.5193,10.0000,23.0000,1.4000
2056,R134a,1,285.880624,331.150000,453.753045,1603.607823,410596.409766,437456.227490,448967.577942,226848.573747,17.7306,9.3063,352.3650,10.0000,23.0000,1.3000
2057,R134a,1,285.869711,331.150000,453.591211,1603.607823,410590.127847,437457.683229,448972.349822,232064.838781,17.7197,9.5443,341.9341,10.0000,23.0000,0.9000
2058,R134a,1,285.865120,331.150000,453.523131,1603.607823,410587.484593,437458.295852,448974.357819,236387.084277,17.7151,9.7451,333.3501,10.0000,23.0000,0.4000
2059,R134a,1,285.866424,331.150000,453.542462,1603.607823,410588.235162,437458.121888,448973.787628,239826.812824,17.7164,9.9078,326.5794,10.0000,23.0000,0.0000
2060,R134a,1,285.872816,331.150000,453.637247,1603.607823,410591.915056,437457.269041,448970.992177,242565.135720,17.7228,10.0416,321.2514,10.0000,23.0000,-0.4000
2061,R134a,1,285.883352,331.150000,453.793508,1603.607823,410597.980126,437455.863628,448966.385129,244963.827680,17.7334,10.1624,316.6394,10.0000,23.0000,-0.6000
2062,R134a,1,285.897146,331.150000,453.998148,1603.607823,410605.920113,437454.024169,448960.354479,247065.640916,17.7471,10.2711,312.6476,10.0000,23.0000,-0.7000
2063,R134a,1,285.913499,331.150000,454.240843,1603.607823,410615.332431,437451.844223,448953.206419,248969.943988,17.7635,10.3730,309.0713,10.0000,23.0000,-0.7000
2064,R134a,1,285.931867,331.150000,454.513567,1603.607823,410625.903926,437449.396590,448945.179161,250628.401872,17.7819,10.4649,305.9998,10.0000,23.0000,-0.8000
2065,R134a,1,285.951827,331.150000,454.810055,1603.607823,410637.390086,437446.738125,448936.458713,252047.233199,17.8018,10.5466,303.4163,10.0000,23.0000,-0.9000
2066,R134a,1,285.973004,331.150000,455.124796,1603.607823,410649.575998,437443.918774,448927.208535,253083.851679,17.8230,10.6113,301.5994,10.0000,23.0000,-1.2000
2067,R134a,1,285.995035,331.150000,455.452393,1603.607823,410662.251552,437440.987307,448917.588345,253577.428080,17.8450,10.6503,300.8650,10.0000,23.0000,-1.7000
2068,R134a,1,286.017494,331.150000,455.786544,1603.607823,410675.172215,437438.000379,448907.783878,253465.593361,17.8675,10.6615,301.3344,10.0000,23.0000,-2.3000
2069,R134a,1,286.039864,331.150000,456.119566,1603.607823,410688.040703,437435.026742,448898.020759,252791.913634,17.8899,10.6466,302.9180,10.0000,23.0000,-2.9000
2070,R134a,1,286.061576,331.150000,456.442961,1603.607823,410700.529041,437432.142121,448888.547727,251654.052894,17.9116,10.6085,305.4179,10.0000,23.0000,-3.3000
2071,R134a,1,286.082076,331.150000,456.748461,1603.607823,410712.319019,437429.419869,448879.605948,250392.700760,17.9321,10.5636,308.1527,10.0000,23.0000,-3.5000
2072,R134a,1,286.100934,331.150000,457.029632,1603.607823,410723.163787,437426.916768,448871.382331,250008.787510,17.9509,10.5591,309.1282,10.0000,23.0000,-2.7000
2073,R134a,1,286.118039,331.150000,457.284780,1603.607823,410732.999584,437424.647299,448863.924892,250470.390986,17.9680,10.5936,308.4032,10.0000,23.0000,-1.9000
2074,R134a,1,286.133798,331.150000,457.519951,1603.607823,410742.060916,437422.557159,448857.055549,251510.987522,17.9838,10.6546,306.5100,10.0000,23.0000,-1.3000
2075,R134a,1,286.148883,331.150000,457.745136,1603.607823,410750.733558,437420.557243,448850.481680,252964.945446,17.9989,10.7349,303.7844,10.0000,23.0000,-0.8000
2076,R134a,1,286.163968,331.150000,457.970412,1603.607823,410759.405808,437418.557971,448843.908898,255109.865994,18.0140,10.8475,299.6799,10.0000,23.0000,0.1000
2077,R134a,1,286.179699,331.150000,458.205436,1603.607823,410768.449203,437416.473726,448837.055665,258533.777472,18.0297,11.0224,293.0295,10.0000,23.0000,1.7000
2078,R134a,1,286.196880,331.150000,458.462216,1603.607823,410778.324947,437414.198336,448829.572646,263932.015213,18.0469,11.2919,282.4510,10.0000,23.0000,4.1000
2079,R134a,1,286.206362,331.150000,458.603973,1603.607823,410783.774802,437412.942986,448825.443635,264822.771687,18.0564,18.0564,0.0000,0.0000,0.0000,6.3000
2080,R134a,1,286.236055,331.150000,459.048116,1603.607823,410800.839945,437409.013516,448812.516475,262925.311970,18.0861,11.2738,284.8698,10.0000,23.0000,6.0000
2081,R134a,1,286.253371,331.150000,459.307285,1603.607823,410810.790987,437406.723146,448804.979786,266434.835429,18.1034,18.1034,0.0000,0.0000,0.0000,5.2000
2082,R134a,1,286.285998,331.150000,459.795908,1603.607823,410829.538357,437402.410152,448790.783778,262755.172447,18.1360,11.3031,285.7352,10.0000,23.0000,4.2000
2083,R134a,1,286.311850,331.150000,460.183339,1603.607823,410844.390397,437398.995139,448779.540028,267276.430432,18.1618,11.5383,276.9597,10.0000,23.0000,3.1000
2084,R134a,1,286.335443,331.150000,460.537147,1603.607823,410857.943622,437395.880178,448769.281559,260935.175109,18.1854,11.2529,289.9015,10.0000,23.0000,2.0000
2085,R134a,1,286.360112,331.150000,460.907302,1603.607823,410872.112968,437392.625047,448758.558795,263786.279267,18.2101,11.4074,284.4503,10.0000,23.0000,1.2000
2086,R134a,1,286.382791,331.150000,461.247794,1603.607823,410885.137709,437389.634160,448748.704067,265686.359972,18.2328,11.5155,280.8773,10.0000,23.0000,0.5000
2087,R134a,1,286.404482,331.150000,461.573633,1603.607823,410897.593781,437386.775014,448739.281256,266877.180561,18.2545,11.5890,278.7123,10.0000,23.0000,0.0000
2088,R134a,1,286.426282,331.150000,461.901284,1603.607823,410910.111137,437383.902939,448729.813712,267540.561560,18.2763,11.6373,277.6047,10.0000,23.0000,-0.4000
2089,R134a,1,286.448384,331.150000,462.233659,1603.607823,410922.800718,437380.992512,448720.217567,267657.955015,18.2984,11.6596,277.5959,10.0000,23.0000,-0.9000
2090,R134a,1,286.470574,331.150000,462.567543,1603.607823,410935.539600,437378.071955,448710.585822,267268.345937,18.3206,11.6576,278.6076,10.0000,23.0000,-1.4000
2091,R134a,1,286.492450,331.150000,462.896875,1603.607823,410948.096626,437375.194245,448701.093225,266340.130312,18.3424,11.6294,280.7015,10.0000,23.0000,-2.0000
2092,R134a,1,286.513526,331.150000,463.214345,1603.607823,410960.193725,437372.423019,448691.949859,264831.577439,18.3635,11.5726,283.9585,10.0000,23.0000,-2.7000
2093,R134a,1,286.533279,331.150000,463.512019,1603.607823,410971.529693,437369.827117,448683.383157,262960.595924,18.3833,11.4978,287.9363,10.0000,23.0000,-3.2000
2094,R134a,1,286.551180,331.150000,463.781920,1603.607823,410981.802295,437367.475527,448675.621198,260758.326569,18.4012,11.4050,292.5671,10.0000,23.0000,-3.6000
2095,R134a,1,286.566802,331.150000,464.017554,1603.607823,410990.766264,437365.424132,448668.848932,258545.317061,18.4168,11.3098,297.1999,10.0000,23.0000,-3.8000
2096,R134a,1,286.579877,331.150000,464.214841,1603.607823,410998.268244,437363.707758,448663.181836,257658.710565,18.4299,11.2766,299.1319,10.0000,23.0000,-2.6000
2097,R134a,1,286.590501,331.150000,464.375207,1603.607823,411004.364137,437362.313382,448658.577344,258075.269176,18.4405,11.3045,298.4073,10.0000,23.0000,-1.4000
2098,R134a,1,286.599428,331.150000,464.509967,1603.607823,411009.485228,437361.142189,448654.709458,259227.598265,18.4494,11.3668,296.1776,10.0000,23.0000,-0.7000
2099,R134a,1,286.607712,331.150000,464.635056,1603.607823,411014.237625,437360.055487,448651.120285,260717.737126,18.4577,11.4449,293.2572,10.0000,23.0000,-0.3000
2100,R134a,1,286.616274,331.150000,464.764372,1603.607823,411019.149361,437358.932520,448647.411017,262383.866304,18.4663,11.5318,289.9827,10.0000,23.0000,0.0000
2101,R134a,1,286.625762,331.150000,464.907709,1603.607823,411024.592181,437357.688336,448643.300975,264448.324761,18.4758,11.6387,285.9109,10.0000,23.0000,0.6000
2102,R134a,1,286.636642,331.150000,465.072105,1603.607823,411030.832838,437356.262036,448638.588835,267352.636267,18.4866,11.7867,280.1529,10.0000,23.0000,1.7000
2103,R134a,1,286.647788,331.150000,465.240576,1603.607823,411037.226099,437354.801150,448633.761886,258418.275601,18.4978,11.3639,298.3403,10.0000,23.0000,2.8000
2104,R134a,1,286.662137,331.150000,465.457522,1603.607823,411045.455790,437352.921065,448627.549040,262999.920617,18.5121,11.5958,289.2254,10.0000,23.0000,2.6000
2105,R134a,1,286.675199,331.150000,465.655083,1603.607823,411052.947157,437351.210076,448621.894184,266722.257681,18.5252,11.7852,281.8285,10.0000,23.0000,2.1000
2106,R134a,1,286.681401,331.150000,465.748899,1603.607823,411056.503563,437350.397953,448619.209834,263017.593123,18.5314,18.5314,0.0000,0.0000,0.0000,1.4000
2107,R134a,1,286.700665,331.150000,466.040422,1603.607823,411067.550552,437347.875898,448610.872475,262073.062750,18.5507,11.5796,291.5136,10.0000,23.0000,0.5000
2108,R134a,1,286.713468,331.150000,466.234251,1603.607823,411074.892087,437346.200293,448605.332381,263385.832343,18.5635,11.6528,288.9898,10.0000,23.0000,-0.3000
2109,R134a,1,286.724680,331.150000,466.404031,1603.607823,411081.320414,437344.733433,448600.481870,263984.198083,18.5747,11.6902,287.8957,10.0000,23.0000,-1.0000
2110,R134a,1,286.735493,331.150000,466.567815,1603.607823,411087.519747,437343.319108,448595.804549,263934.337685,18.5855,11.6958,288.1114,10.0000,23.0000,-1.6000
2111,R134a,1,286.746232,331.150000,466.730527,1603.607823,411093.676531,437341.914764,448591.159721,263294.283080,18.5962,11.6728,289.5241,10.0000,23.0000,-2.2000
2112,R134a,1,286.756694,331.150000,466.889086,1603.607823,411099.674293,437340.546953,448586.635235,262126.985529,18.6067,11.6239,292.0048,10.0000,23.0000,-2.8000
2113,R134a,1,286.766453,331.150000,467.037032,1603.607823,411105.268921,437339.271311,448582.415193,260490.549230,18.6165,11.5517,295.4322,10.0000,23.0000,-3.4000
2114,R134a,1,286.775017,331.150000,467.166884,1603.607823,411110.178044,437338.152158,448578.712492,258437.763355,18.6250,11.4583,299.6941,10.0000,23.0000,-4.0000
2115,R134a,1,286.781897,331.150000,467.271226,1603.607823,411114.121810,437337.253206,448575.738090,255933.464383,18.6319,11.3423,304.8568,10.0000,23.0000,-4.7000
2116,R134a,1,286.786634,331.150000,467.343072,1603.607823,411116.836881,437336.634390,448573.690466,253014.030153,18.6366,11.2039,310.8410,10.0000,23.0000,-5.4000
2117,R134a,1,286.788791,331.150000,467.375792,1603.607823,411118.073241,437336.352618,448572.758066,249808.430334,18.6388,11.0497,317.3787,10.0000,23.0000,-6.0000
2118,R134a,1,286.787975,331.150000,467.363406,1603.607823,411117.605234,437336.459278,448573.111011,246404.201993,18.6380,10.8842,324.2860,10.0000,23.0000,-6.4000
2119,R134a,1,286.783893,331.150000,467.301494,1603.607823,411115.265689,437336.992488,448574.875402,243109.996987,18.6339,10.7212,330.9303,10.0000,23.0000,-6.6000
2120,R134a,1,286.776439,331.150000,467.188446,1603.607823,411110.993065,437337.966371,448578.097788,241436.327610,18.6264,10.6352,334.2404,10.0000,23.0000,-5.1000
2121,R134a,1,286.765904,331.150000,467.028702,1603.607823,411104.953969,437339.343118,448582.652754,241448.174850,18.6159,10.6282,334.0892,10.0000,23.0000,-3.5000
2122,R134a,1,286.753326,331.150000,466.838037,1603.607823,411097.743484,437340.987252,448588.091724,242653.502178,18.6033,10.6772,331.4912,10.0000,23.0000,-2.3000
2123,R134a,1,286.740135,331.150000,466.638144,1603.607823,411090.181117,437342.712024,448593.796698,244642.777807,18.5901,10.7643,327.2975,10.0000,23.0000,-1.4000
2124,R134a,1,286.727693,331.150000,466.449673,1603.607823,411083.048212,437344.339223,448599.178228,247465.599271,18.5777,10.8923,321.4257,10.0000,23.0000,-0.3000
2125,R134a,1,286.717156,331.150000,466.290091,1603.607823,411077.006578,437345.717761,448603.736840,251496.222571,18.5672,11.0795,313.1319,10.0000,23.0000,1.3000
2126,R134a,1,286.709617,331.150000,466.175940,1603.607823,411072.683758,437346.704273,448606.998779,257475.946863,18.5596,11.3639,300.9266,10.0000,23.0000,3.8000
2127,R134a,1,286.706342,331.150000,466.126365,1603.607823,411070.806117,437347.132812,448608.415681,265197.054740,18.5563,11.7352,285.2436,10.0000,23.0000,6.0000
2128,R134a,1,286.706459,331.150000,466.128125,1603.607823,411070.872777,437347.117597,448608.365378,262798.749670,18.5565,18.5565,0.0000,0.0000,0.0000,5.7000
2129,R134a,1,286.714112,331.150000,466.243995,1603.607823,411075.261059,437346.116090,448605.053961,266323.656415,18.5641,11.7950,283.0416,10.0000,23.0000,4.8000
2130,R134a,1,286.718100,331.150000,466.304378,1603.607823,411077.547549,437345.594315,448603.328644,261923.482400,18.5681,18.5681,0.0000,0.0000,0.0000,3.7000
2131,R134a,1,286.738597,331.150000,466.614847,1603.607823,411089.299548,437342.913113,448594.461783,262967.236532,18.5886,11.6512,290.1062,10.0000,23.0000,2.3000
2132,R134a,1,286.752523,331.150000,466.825875,1603.607823,411097.283438,437341.092165,448588.438762,265686.384610,18.6025,11.7929,284.7363,10.0000,23.0000,1.1000
2133,R134a,1,286.765389,331.150000,467.020895,1603.607823,411104.658784,437339.410419,448582.875405,267235.785280,18.6154,11.8778,281.7255,10.0000,23.0000,0.1000
2134,R134a,1,286.778765,331.150000,467.223727,1603.607823,411112.326584,437337.662400,448577.092036,267733.375745,18.6288,11.9121,280.8540,10.0000,23.0000,-0.8000
2135,R134a,1,286.792913,331.150000,467.438315,1603.607823,411120.435534,437335.814272,448570.976588,267445.290781,18.6429,11.9087,281.5862,10.0000,23.0000,-1.5000
2136,R134a,1,286.807382,331.150000,467.657876,1603.607823,411128.728916,437333.924596,448564.722745,266486.821083,18.6574,11.8730,283.6852,10.0000,23.0000,-2.2000
2137,R134a,1,286.821503,331.150000,467.872207,1603.607823,411136.821320,437332.081189,448558.621132,264847.852354,18.6715,11.8044,287.1666,10.0000,23.0000,-3.0000
2138,R134a,1,286.834562,331.150000,468.070499,1603.607823,411144.305169,437330.376824,448552.978962,262591.062947,18.6846,11.7044,291.8968,10.0000,23.0000,-3.8000
2139,R134a,1,286.845849,331.150000,468.241938,1603.607823,411150.773234,437328.904115,448548.103065,259622.989976,18.6958,11.5683,298.0594,10.0000,23.0000,-4.8000
2140,R134a,1,286.854671,331.150000,468.375962,1603.607823,411155.828193,437327.753364,448544.292723,255998.697163,18.7047,11.3988,305.5352,10.0000,23.0000,-5.8000
2141,R134a,1,286.860339,331.150000,468.462086,1603.607823,411159.075800,437327.014149,448541.844870,251961.798372,18.7103,11.2064,313.8195,10.0000,23.0000,-6.6000
2142,R134a,1,286.862228,331.150000,468.490797,1603.607823,411160.158344,437326.767759,448541.028936,247551.344737,18.7122,10.9935,322.8233,10.0000,23.0000,-7.3000
2143,R134a,1,286.859867,331.150000,468.454911,1603.607823,411158.805274,437327.075723,448542.048772,243322.987449,18.7099,10.7858,331.4065,10.0000,23.0000,-7.5000
2144,R134a,1,286.852988,331.150000,468.350394,1603.607823,411154.863956,437327.972857,448545.019528,239784.785154,18.7030,10.6092,338.5279,10.0000,23.0000,-7.3000
2145,R134a,1,286.841699,331.150000,468.178897,1603.607823,411148.395074,437329.445562,448549.895771,237131.898055,18.6917,10.4720,343.7895,10.0000,23.0000,-6.7000
2146,R134a,1,286.826544,331.150000,467.948741,1603.607823,411139.710182,437331.423234,448556.443114,235615.302222,18.6765,10.3875,346.6872,10.0000,23.0000,-5.7000
2147,R134a,1,286.808403,331.150000,467.673360,1603.607823,411129.313645,437333.791382,448564.281841,235331.616385,18.6584,10.3610,347.0379,10.0000,23.0000,-4.5000
2148,R134a,1,286.788427,331.150000,467.370272,1603.607823,411117.864659,437336.400154,448572.915366,236426.357117,18.6384,10.4002,344.5645,10.0000,23.0000,-3.0000
2149,R134a,1,286.767949,331.150000,467.059716,1603.607823,411106.126612,437339.075767,448581.768263,238900.255678,18.6179,10.5059,339.2875,10.0000,23.0000,-1.4000
2150,R134a,1,286.748422,331.150000,466.763722,1603.607823,411094.932345,437341.628349,448590.212351,242736.696276,18.5984,10.6777,331.2637,10.0000,23.0000,0.3000
2151,R134a,1,286.731332,331.150000,466.504788,1603.607823,411085.134364,437343.863280,448597.604245,247772.964356,18.5813,10.9098,320.8448,10.0000,23.0000,1.9000
2152,R134a,1,286.718096,331.150000,466.304321,1603.607823,411077.545364,437345.594814,448603.330292,253182.791253,18.5681,11.1620,309.7235,10.0000,23.0000,2.6000
2153,R134a,1,286.709875,331.150000,466.179848,1603.607823,411072.831775,437346.670492,448606.887085,257895.208307,18.5599,11.3839,300.0797,10.0000,23.0000,2.2000
2154,R134a,1,286.707227,331.150000,466.139763,1603.607823,411071.313559,437347.016995,448608.032753,261451.910629,18.5572,11.5544,292.8427,10.0000,23.0000,1.4000
2155,R134a,1,286.709901,331.150000,466.180246,1603.607823,411072.846848,437346.667052,448606.875710,263582.853591,18.5599,11.6597,288.5526,10.0000,23.0000,0.4000
2156,R134a,1,286.717010,331.150000,466.287883,1603.607823,411076.922971,437345.736840,448603.799926,264819.458525,18.5670,11.7249,286.1212,10.0000,23.0000,-0.2000
2157,R134a,1,286.727339,331.150000,466.444313,1603.607823,411082.845290,437344.385520,448599.331333,265884.779634,18.5773,11.7837,284.0697,10.0000,23.0000,-0.3000
2158,R134a,1,286.739795,331.150000,466.632994,1603.607823,411089.986239,437342.756476,448593.943720,266773.428311,18.5898,11.8362,282.3975,10.0000,23.0000,-0.4000
2159,R134a,1,286.753638,331.150000,466.842764,1603.607823,411097.922278,437340.946479,448587.956852,266967.882370,18.6036,11.8560,282.1471,10.0000,23.0000,-1.1000
2160,R134a,1,286.768284,331.150000,467.064784,1603.607823,411106.318217,437339.032084,448581.623742,266017.674454,18.6183,11.8209,284.2291,10.0000,23.0000,-2.3000
2161,R134a,1,286.782981,331.150000,467.287669,1603.607823,411114.743214,437337.111572,448575.269439,263801.005833,18.6330,11.7248,288.8862,10.0000,23.0000,-3.7000
2162,R134a,1,286.796702,331.150000,467.495814,1603.607823,411122.607754,437335.319276,448569.338500,260354.374805,18.6467,11.5675,296.0368,10.0000,23.0000,-5.2000
2163,R134a,1,286.808248,331.150000,467.671012,1603.607823,411129.225003,437333.811577,448564.348680,255982.486504,18.6582,11.3640,305.0507,10.0000,23.0000,-6.5000
2164,R134a,1,286.816410,331.150000,467.794895,1603.607823,411133.902674,437332.745987,448560.821693,251079.027578,18.6664,11.1315,315.1134,10.0000,23.0000,-7.5000
2165,R134a,1,286.820175,331.150000,467.852053,1603.607823,411136.060518,437332.254475,448559.194743,245996.612381,18.6702,10.8876,325.4936,10.0000,23.0000,-8.2000
2166,R134a,1,286.818853,331.150000,467.831976,1603.607823,411135.302588,437332.427112,448559.766194,240917.556392,18.6689,10.6401,335.8077,10.0000,23.0000,-8.6000
2167,R134a,1,286.812111,331.150000,467.729644,1603.607823,411131.439030,437333.307194,448562.679265,236212.891485,18.6621,10.4065,345.2923,10.0000,23.0000,-8.7000
2168,R134a,1,286.799951,331.150000,467.545103,1603.607823,411124.469652,437334.895023,448567.934467,232328.727078,18.6500,10.2097,353.0361,10.0000,23.0000,-8.4000
2169,R134a,1,286.782743,331.150000,467.284051,1603.607823,411114.606477,437337.142737,448575.372563,229519.138479,18.6327,10.0612,358.5257,10.0000,23.0000,-7.6000
2170,R134a,1,286.761256,331.150000,466.958246,1603.607823,411102.289805,437339.950557,448584.662308,227870.026666,18.6113,9.9662,361.5977,10.0000,23.0000,-6.6000
2171,R134a,1,286.736573,331.150000,466.584184,1603.607823,411088.139199,437343.177801,448595.337201,227521.975953,18.5866,9.9322,361.9845,10.0000,23.0000,-5.3000
2172,R134a,1,286.709969,331.150000,466.181263,1603.607823,411072.885345,437346.658266,448606.846661,228315.323462,18.5600,9.9523,360.0321,10.0000,23.0000,-4.1000
