step,date,time,T_source_out_C,T_return_C,COP,Q_out_kW,P_el_kW,Q_geo_kW,T_outdoor_C,T_load_supply_C,T_load_return_C,T_hp_load_out_C,model,T_tank_C,HP_on,Q_space_req_kW,Q_dhw_req_kW,Q_space_served_kW,Q_dhw_served_kW,Q_unmet_kW,flow_src_kgps,flow_load_kgps,dP_kPa,P_pump_kW
0,2025-10-01,01:00,107.4623,107.4623,0.0000,0.0000,0.0000,0.0000,7.9000,40.7349,40.7349,40.7349,CP,40.7349,0,187.0000,0.3000,187.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
1,2025-10-01,02:00,90.7381,90.7381,0.0000,0.0000,0.0000,0.0000,7.6000,41.4713,41.4713,41.4713,CP,41.4713,0,193.0000,0.3000,193.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
2,2025-10-01,03:00,83.0379,83.0379,0.0000,0.0000,0.0000,0.0000,7.3000,42.2466,42.2466,42.2466,CP,42.2466,0,199.0000,0.3000,199.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
3,2025-10-01,04:00,77.9312,77.9312,0.0000,0.0000,0.0000,0.0000,7.0000,42.4239,42.4239,42.4239,CP,42.4239,0,205.0000,0.3000,205.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
4,2025-10-01,05:00,73.4093,73.4093,0.0000,0.0000,0.0000,0.0000,6.8000,43.0569,43.0569,43.0569,CP,43.0569,0,209.0000,0.3000,209.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
5,2025-10-01,06:00,72.1195,72.1195,0.0000,0.0000,0.0000,0.0000,6.6000,43.2396,43.2396,43.2396,CP,43.2396,0,213.0000,0.3000,213.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
6,2025-10-01,07:00,73.9431,73.9431,0.0000,0.0000,0.0000,0.0000,6.4000,43.1465,43.1465,43.1465,CP,43.1465,0,217.0000,3.3000,217.0000,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000
7,2025-10-01,08:00,74.9387,74.9387,0.0000,0.0000,0.0000,0.0000,6.4000,43.1049,43.1049,43.1049,CP,43.1049,0,217.0000,3.3000,217.0000,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000
8,2025-10-01,09:00,68.4986,68.4986,0.0000,0.0000,0.0000,0.0000,7.1000,43.5105,43.5105,43.5105,CP,43.5105,0,203.0000,0.3000,203.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
9,2025-10-01,10:00,62.2790,42.9475,43.2364,828.3734,19.1592,809.2143,7.9000,56.6866,48.0826,56.6866,CP,48.0826,1,187.0000,0.3000,187.0000,0.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
10,2025-10-01,11:00,62.2790,62.2790,0.0000,0.0000,0.0000,0.0000,8.4000,41.9649,41.9649,41.9649,CP,41.9649,0,177.0000,0.3000,177.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
11,2025-10-01,12:00,81.6568,81.6568,0.0000,0.0000,0.0000,0.0000,8.8000,43.8501,43.8501,43.8501,CP,43.8501,0,169.0000,0.3000,169.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
12,2025-10-01,13:00,70.4882,39.2875,49.4633,1333.0127,26.9496,1306.0631,9.1000,59.7266,45.8811,59.7266,CP,45.8811,1,163.0000,0.3000,163.0000,0.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
13,2025-10-01,14:00,70.4882,70.4882,0.0000,0.0000,0.0000,0.0000,9.5000,40.5225,40.5225,40.5225,CP,40.5225,0,155.0000,0.3000,155.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
14,2025-10-01,15:00,54.3177,54.3177,0.0000,0.0000,0.0000,0.0000,10.2000,44.8575,44.8575,44.8575,CP,44.8575,0,141.0000,0.3000,141.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
15,2025-10-01,16:00,54.3177,54.3177,0.0000,0.0000,0.0000,0.0000,10.8000,40.3960,40.3960,40.3960,CP,40.3960,0,129.0000,0.3000,129.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
16,2025-10-01,17:00,91.8907,91.8907,0.0000,0.0000,0.0000,0.0000,10.6000,43.1992,43.1992,43.1992,CP,43.1992,0,133.0000,0.3000,133.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
17,2025-10-01,18:00,28.6172,18.5865,5.8042,507.2882,87.4001,419.8881,10.1000,47.5291,42.2601,47.5291,CP,42.2601,1,143.0000,0.3000,143.0000,0.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
18,2025-10-01,19:00,57.1276,57.1276,0.0000,0.0000,0.0000,0.0000,9.5000,42.8477,42.8477,42.8477,CP,42.8477,0,155.0000,0.3000,155.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
19,2025-10-01,20:00,95.6308,95.6308,0.0000,0.0000,0.0000,0.0000,8.7000,44.1194,44.1194,44.1194,CP,44.1194,0,171.0000,3.3000,171.0000,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000
20,2025-10-01,21:00,11.2089,5.8874,3.7210,304.6211,81.8647,222.7565,8.1000,43.9825,40.8185,43.9825,CP,40.8185,1,183.0000,3.3000,183.0000,3.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
21,2025-10-01,22:00,47.6425,47.6425,0.0000,0.0000,0.0000,0.0000,7.6000,42.6033,42.6033,42.6033,CP,42.6033,0,193.0000,0.3000,193.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
22,2025-10-01,23:00,66.4135,66.4135,0.0000,0.0000,0.0000,0.0000,7.3000,43.3865,43.3865,43.3865,CP,43.3865,0,199.0000,0.3000,199.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
23,2025-10-02,00:00,58.9557,58.9557,0.0000,0.0000,0.0000,0.0000,7.0000,42.8125,42.8125,42.8125,CP,42.8125,0,205.0000,0.3000,205.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
24,2025-10-02,01:00,50.5705,50.5705,0.0000,0.0000,0.0000,0.0000,6.7000,43.8812,43.8812,43.8812,CP,43.8812,0,211.0000,0.3000,211.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
25,2025-10-02,02:00,75.9274,75.9274,0.0000,0.0000,0.0000,0.0000,6.4000,44.1996,44.1996,44.1996,CP,44.1996,0,217.0000,0.3000,217.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
26,2025-10-02,03:00,40.8707,26.0023,9.1589,698.6789,76.2844,622.3945,6.0000,51.6139,44.3570,51.6139,CP,44.3570,1,225.0000,0.3000,225.0000,0.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
27,2025-10-02,04:00,49.7021,49.7021,0.0000,0.0000,0.0000,0.0000,5.4000,40.9543,40.9543,40.9543,CP,40.9543,0,237.0000,0.3000,237.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
28,2025-10-02,05:00,62.1795,62.1795,0.0000,0.0000,0.0000,0.0000,4.8000,39.5171,39.5171,39.5171,CP,39.5171,0,249.0000,0.3000,249.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
29,2025-10-02,06:00,52.0738,52.0738,0.0000,0.0000,0.0000,0.0000,4.2000,41.4661,41.4661,41.4661,CP,41.4661,0,261.0000,0.3000,261.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
30,2025-10-02,07:00,57.3287,57.3287,0.0000,0.0000,0.0000,0.0000,3.8000,42.8142,42.8142,42.8142,CP,42.8142,0,269.0000,3.3000,269.0000,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000
31,2025-10-02,08:00,54.0300,54.0300,0.0000,0.0000,0.0000,0.0000,3.6000,44.1976,44.1976,44.1976,CP,44.1976,0,273.0000,3.3000,273.0000,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000
32,2025-10-02,09:00,55.4100,55.4100,0.0000,0.0000,0.0000,0.0000,4.2000,46.0053,46.0053,46.0053,CP,46.0053,0,261.0000,0.3000,261.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
33,2025-10-02,10:00,54.2331,31.1347,24.4374,1008.1527,41.2546,966.8981,5.2000,53.9482,43.4769,53.9482,CP,43.4769,1,241.0000,0.3000,241.0000,0.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
34,2025-10-02,11:00,54.1102,54.1102,0.0000,0.0000,0.0000,0.0000,6.3000,41.1826,41.1826,41.1826,CP,41.1826,0,219.0000,0.3000,219.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
35,2025-10-02,12:00,54.4855,54.4855,0.0000,0.0000,0.0000,0.0000,7.7000,45.5605,45.5605,45.5605,CP,45.5605,0,191.0000,0.3000,191.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
36,2025-10-02,13:00,54.4855,54.4855,0.0000,0.0000,0.0000,0.0000,9.4000,40.1329,40.1329,40.1329,CP,40.1329,0,157.0000,0.3000,157.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
37,2025-10-02,14:00,53.5583,53.5583,0.0000,0.0000,0.0000,0.0000,11.5000,46.5427,46.5427,46.5427,CP,46.5427,0,115.0000,0.3000,115.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
38,2025-10-02,15:00,53.5583,53.5583,0.0000,0.0000,0.0000,0.0000,14.1000,44.3584,44.3584,44.3584,CP,44.3584,0,63.0000,0.3000,63.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
39,2025-10-02,16:00,53.5583,53.5583,0.0000,0.0000,0.0000,0.0000,16.9000,44.1064,44.1064,44.1064,CP,44.1064,0,7.0000,0.3000,7.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
40,2025-10-02,17:00,53.5583,53.5583,0.0000,0.0000,0.0000,0.0000,18.2000,44.0959,44.0959,44.0959,CP,44.0959,0,0.0000,0.3000,0.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
41,2025-10-02,18:00,53.5583,53.5583,0.0000,0.0000,0.0000,0.0000,17.5000,44.0853,44.0853,44.0853,CP,44.0853,0,0.0000,0.3000,0.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
42,2025-10-02,19:00,53.5583,53.5583,0.0000,0.0000,0.0000,0.0000,15.9000,43.1432,43.1432,43.1432,CP,43.1432,0,27.0000,0.3000,27.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
43,2025-10-02,20:00,53.5583,53.5583,0.0000,0.0000,0.0000,0.0000,13.8000,40.6484,40.6484,40.6484,CP,40.6484,0,69.0000,3.3000,69.0000,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000
44,2025-10-02,21:00,52.5151,52.5151,0.0000,0.0000,0.0000,0.0000,11.8000,47.1694,47.1694,47.1694,CP,47.1694,0,109.0000,3.3000,109.0000,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000
45,2025-10-02,22:00,52.5151,52.5151,0.0000,0.0000,0.0000,0.0000,10.2000,42.2938,42.2938,42.2938,CP,42.2938,0,141.0000,0.3000,141.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
46,2025-10-02,23:00,50.8219,50.8219,0.0000,0.0000,0.0000,0.0000,9.1000,47.0030,47.0030,47.0030,CP,47.0030,0,163.0000,0.3000,163.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
47,2025-10-03,00:00,50.8219,50.8219,0.0000,0.0000,0.0000,0.0000,8.4000,40.8853,40.8853,40.8853,CP,40.8853,0,177.0000,0.3000,177.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
48,2025-10-03,01:00,51.8520,51.8520,0.0000,0.0000,0.0000,0.0000,7.8000,44.7159,44.7159,44.7159,CP,44.7159,0,189.0000,0.3000,189.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
49,2025-10-03,02:00,50.2852,29.8032,16.6798,912.0595,54.6806,857.3789,7.4000,52.6263,43.1531,52.6263,CP,43.1531,1,197.0000,0.3000,197.0000,0.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
50,2025-10-03,03:00,50.8068,50.8068,0.0000,0.0000,0.0000,0.0000,6.9000,41.1292,41.1292,41.1292,CP,41.1292,0,207.0000,0.3000,207.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
51,2025-10-03,04:00,51.1954,51.1954,0.0000,0.0000,0.0000,0.0000,6.3000,43.9423,43.9423,43.9423,CP,43.9423,0,219.0000,0.3000,219.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
52,2025-10-03,05:00,50.3181,50.3181,0.0000,0.0000,0.0000,0.0000,5.8000,46.2325,46.2325,46.2325,CP,46.2325,0,229.0000,0.3000,229.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
53,2025-10-03,06:00,50.7145,30.0073,17.2450,920.1599,53.3581,866.8019,5.2000,52.7554,43.1980,52.7554,CP,43.1980,1,241.0000,0.3000,241.0000,0.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
54,2025-10-03,07:00,50.4950,50.4950,0.0000,0.0000,0.0000,0.0000,4.8000,39.5788,39.5788,39.5788,CP,39.5788,0,249.0000,3.3000,249.0000,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000
55,2025-10-03,08:00,50.0336,50.0336,0.0000,0.0000,0.0000,0.0000,4.7000,41.0042,41.0042,41.0042,CP,41.0042,0,251.0000,3.3000,251.0000,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000
56,2025-10-03,09:00,49.9056,49.9056,0.0000,0.0000,0.0000,0.0000,5.4000,42.9952,42.9952,42.9952,CP,42.9952,0,237.0000,0.3000,237.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
57,2025-10-03,10:00,49.6073,49.6073,0.0000,0.0000,0.0000,0.0000,6.4000,45.6156,45.6156,45.6156,CP,45.6156,0,217.0000,0.3000,217.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
58,2025-10-03,11:00,49.4222,29.6396,15.4665,885.3430,57.2428,828.1003,7.4000,53.0948,43.8991,53.0948,CP,43.8991,1,197.0000,0.3000,197.0000,0.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
59,2025-10-03,12:00,49.3625,49.3625,0.0000,0.0000,0.0000,0.0000,8.8000,42.9679,42.9679,42.9679,CP,42.9679,0,169.0000,0.3000,169.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
60,2025-10-03,13:00,49.0174,30.2531,14.4497,843.8725,58.4009,785.4717,10.7000,57.0921,48.3271,57.0921,CP,48.3271,1,131.0000,0.3000,131.0000,0.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
61,2025-10-03,14:00,49.0174,49.0174,0.0000,0.0000,0.0000,0.0000,13.3000,45.5908,45.5908,45.5908,CP,45.5908,0,79.0000,0.3000,79.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
62,2025-10-03,15:00,49.0174,49.0174,0.0000,0.0000,0.0000,0.0000,16.8000,45.2697,45.2697,45.2697,CP,45.2697,0,9.0000,0.3000,9.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
63,2025-10-03,16:00,49.0174,49.0174,0.0000,0.0000,0.0000,0.0000,19.7000,45.2592,45.2592,45.2592,CP,45.2592,0,0.0000,0.3000,0.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
64,2025-10-03,17:00,49.0174,49.0174,0.0000,0.0000,0.0000,0.0000,19.4000,45.2486,45.2486,45.2486,CP,45.2486,0,0.0000,0.3000,0.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
65,2025-10-03,18:00,49.0174,49.0174,0.0000,0.0000,0.0000,0.0000,18.6000,45.2381,45.2381,45.2381,CP,45.2381,0,0.0000,0.3000,0.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
66,2025-10-03,19:00,49.0174,49.0174,0.0000,0.0000,0.0000,0.0000,17.4000,45.2276,45.2276,45.2276,CP,45.2276,0,0.0000,0.3000,0.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
67,2025-10-03,20:00,49.0174,49.0174,0.0000,0.0000,0.0000,0.0000,16.0000,44.2510,44.2510,44.2510,CP,44.2510,0,25.0000,3.3000,25.0000,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000
68,2025-10-03,21:00,49.0174,49.0174,0.0000,0.0000,0.0000,0.0000,14.7000,42.3772,42.3772,42.3772,CP,42.3772,0,51.0000,3.3000,51.0000,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000
69,2025-10-03,22:00,49.0174,49.0174,0.0000,0.0000,0.0000,0.0000,13.5000,39.7789,39.7789,39.7789,CP,39.7789,0,75.0000,0.3000,75.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
70,2025-10-03,23:00,47.1518,47.1518,0.0000,0.0000,0.0000,0.0000,12.4000,45.8659,45.8659,45.8659,CP,45.8659,0,97.0000,0.3000,97.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
71,2025-10-04,00:00,47.1518,47.1518,0.0000,0.0000,0.0000,0.0000,11.5000,41.8874,41.8874,41.8874,CP,41.8874,0,115.0000,0.3000,115.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
72,2025-10-04,01:00,46.8868,46.8868,0.0000,0.0000,0.0000,0.0000,10.8000,46.8128,46.8128,46.8128,CP,46.8128,0,129.0000,0.3000,129.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
73,2025-10-04,02:00,46.8868,46.8868,0.0000,0.0000,0.0000,0.0000,10.2000,41.9372,41.9372,41.9372,CP,41.9372,0,141.0000,0.3000,141.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
74,2025-10-04,03:00,46.8988,46.8988,0.0000,0.0000,0.0000,0.0000,9.8000,46.2239,46.2239,46.2239,CP,46.2239,0,149.0000,0.3000,149.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
75,2025-10-04,04:00,46.8988,46.8988,0.0000,0.0000,0.0000,0.0000,9.6000,40.9342,40.9342,40.9342,CP,40.9342,0,153.0000,0.3000,153.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
76,2025-10-04,05:00,46.4559,46.4559,0.0000,0.0000,0.0000,0.0000,9.4000,44.8482,44.8482,44.8482,CP,44.8482,0,157.0000,0.3000,157.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
77,2025-10-04,06:00,46.4559,46.4559,0.0000,0.0000,0.0000,0.0000,9.4000,39.4206,39.4206,39.4206,CP,39.4206,0,157.0000,0.3000,157.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
78,2025-10-04,07:00,46.4484,46.4484,0.0000,0.0000,0.0000,0.0000,9.4000,43.2142,43.2142,43.2142,CP,43.2142,0,157.0000,3.3000,157.0000,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000
79,2025-10-04,08:00,46.0395,28.7876,11.9262,788.2613,66.0951,722.1662,9.4000,55.0851,46.8978,55.0851,CP,46.8978,1,157.0000,3.3000,157.0000,3.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
80,2025-10-04,09:00,46.0395,46.0395,0.0000,0.0000,0.0000,0.0000,10.0000,41.8842,41.8842,41.8842,CP,41.8842,0,145.0000,0.3000,145.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
81,2025-10-04,10:00,46.0210,46.0210,0.0000,0.0000,0.0000,0.0000,10.6000,46.4891,46.4891,46.4891,CP,46.4891,0,133.0000,0.3000,133.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
82,2025-10-04,11:00,46.0210,46.0210,0.0000,0.0000,0.0000,0.0000,11.0000,42.1655,42.1655,42.1655,CP,42.1655,0,125.0000,0.3000,125.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
83,2025-10-04,12:00,45.5430,28.5710,11.5654,777.6872,67.2424,710.4448,11.3000,55.2238,47.1463,55.2238,CP,47.1463,1,119.0000,0.3000,119.0000,0.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
84,2025-10-04,13:00,45.5430,45.5430,0.0000,0.0000,0.0000,0.0000,11.8000,43.3748,43.3748,43.3748,CP,43.3748,0,109.0000,0.3000,109.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
85,2025-10-04,14:00,45.5430,45.5430,0.0000,0.0000,0.0000,0.0000,12.6000,40.1555,40.1555,40.1555,CP,40.1555,0,93.0000,0.3000,93.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
86,2025-10-04,15:00,45.4823,45.4823,0.0000,0.0000,0.0000,0.0000,14.0000,46.9521,46.9521,46.9521,CP,46.9521,0,65.0000,0.3000,65.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
87,2025-10-04,16:00,45.4823,45.4823,0.0000,0.0000,0.0000,0.0000,15.3000,45.5960,45.5960,45.5960,CP,45.5960,0,39.0000,0.3000,39.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
88,2025-10-04,17:00,45.4823,45.4823,0.0000,0.0000,0.0000,0.0000,15.1000,44.1018,44.1018,44.1018,CP,44.1018,0,43.0000,0.3000,43.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
89,2025-10-04,18:00,45.4823,45.4823,0.0000,0.0000,0.0000,0.0000,14.6000,42.2626,42.2626,42.2626,CP,42.2626,0,53.0000,0.3000,53.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
90,2025-10-04,19:00,45.4823,45.4823,0.0000,0.0000,0.0000,0.0000,13.9000,39.9403,39.9403,39.9403,CP,39.9403,0,67.0000,0.3000,67.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
91,2025-10-04,20:00,44.5607,44.5607,0.0000,0.0000,0.0000,0.0000,13.2000,45.8487,45.8487,45.8487,CP,45.8487,0,81.0000,3.3000,81.0000,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000
92,2025-10-04,21:00,44.5607,44.5607,0.0000,0.0000,0.0000,0.0000,12.5000,42.4568,42.4568,42.4568,CP,42.4568,0,95.0000,3.3000,95.0000,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000
93,2025-10-04,22:00,44.8782,27.6298,11.5067,790.7372,68.7199,722.0173,12.0000,51.5837,43.3706,51.5837,CP,43.3706,1,105.0000,0.3000,105.0000,0.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
94,2025-10-04,23:00,44.7324,44.7324,0.0000,0.0000,0.0000,0.0000,11.6000,43.8399,43.8399,43.8399,CP,43.8399,0,113.0000,0.3000,113.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
95,2025-10-05,00:00,44.7324,44.7324,0.0000,0.0000,0.0000,0.0000,11.3000,39.7234,39.7234,39.7234,CP,39.7234,0,119.0000,0.3000,119.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
96,2025-10-05,01:00,44.1705,44.1705,0.0000,0.0000,0.0000,0.0000,11.0000,44.1427,44.1427,44.1427,CP,44.1427,0,125.0000,0.3000,125.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
97,2025-10-05,02:00,44.1705,44.1705,0.0000,0.0000,0.0000,0.0000,10.6000,39.5432,39.5432,39.5432,CP,39.5432,0,133.0000,0.3000,133.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
98,2025-10-05,03:00,44.2470,44.2470,0.0000,0.0000,0.0000,0.0000,10.1000,43.4269,43.4269,43.4269,CP,43.4269,0,143.0000,0.3000,143.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
99,2025-10-05,04:00,43.9679,27.8133,10.5733,746.8685,70.6370,676.2315,9.4000,54.4528,46.6954,54.4528,CP,46.6954,1,157.0000,0.3000,157.0000,0.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
100,2025-10-05,05:00,43.9679,43.9679,0.0000,0.0000,0.0000,0.0000,8.7000,40.7847,40.7847,40.7847,CP,40.7847,0,171.0000,0.3000,171.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
101,2025-10-05,06:00,43.8286,43.8286,0.0000,0.0000,0.0000,0.0000,8.1000,43.1817,43.1817,43.1817,CP,43.1817,0,183.0000,0.3000,183.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
102,2025-10-05,07:00,43.7534,43.7534,0.0000,0.0000,0.0000,0.0000,7.6000,45.0795,45.0795,45.0795,CP,45.0795,0,193.0000,3.3000,193.0000,3.3000,0.0000,0.0000,0.0000,0.0000,0.0000
103,2025-10-05,08:00,43.6583,27.0458,10.7584,766.6633,71.2616,695.4017,7.4000,50.5400,42.5770,50.5400,CP,42.5770,1,197.0000,3.3000,197.0000,3.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
104,2025-10-05,09:00,43.5873,43.5873,0.0000,0.0000,0.0000,0.0000,7.9000,40.3941,40.3941,40.3941,CP,40.3941,0,187.0000,0.3000,187.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
105,2025-10-05,10:00,43.4966,43.4966,0.0000,0.0000,0.0000,0.0000,8.5000,42.9939,42.9939,42.9939,CP,42.9939,0,175.0000,0.3000,175.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
106,2025-10-05,11:00,43.3444,27.4104,10.2792,738.8792,71.8810,666.9982,9.1000,53.6613,45.9868,53.6613,CP,45.9868,1,163.0000,0.3000,163.0000,0.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
107,2025-10-05,12:00,43.3444,43.3444,0.0000,0.0000,0.0000,0.0000,9.6000,40.6972,40.6972,40.6972,CP,40.6972,0,153.0000,0.3000,153.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
108,2025-10-05,13:00,43.2177,43.2177,0.0000,0.0000,0.0000,0.0000,10.2000,44.3675,44.3675,44.3675,CP,44.3675,0,141.0000,0.3000,141.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
109,2025-10-05,14:00,43.2177,43.2177,0.0000,0.0000,0.0000,0.0000,11.0000,40.0440,40.0440,40.0440,CP,40.0440,0,125.0000,0.3000,125.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
110,2025-10-05,15:00,43.0336,43.0336,0.0000,0.0000,0.0000,0.0000,12.1000,45.0095,45.0095,45.0095,CP,45.0095,0,103.0000,0.3000,103.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
111,2025-10-05,16:00,43.0336,43.0336,0.0000,0.0000,0.0000,0.0000,13.4000,42.3421,42.3421,42.3421,CP,42.3421,0,77.0000,0.3000,77.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
112,2025-10-05,17:00,43.0336,43.0336,0.0000,0.0000,0.0000,0.0000,14.0000,40.0889,40.0889,40.0889,CP,40.0889,0,65.0000,0.3000,65.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
113,2025-10-05,18:00,42.7620,42.7620,0.0000,0.0000,0.0000,0.0000,13.6000,46.0062,46.0062,46.0062,CP,46.0062,0,73.0000,0.3000,73.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
114,2025-10-05,19:00,42.7620,42.7620,0.0000,0.0000,0.0000,0.0000,12.6000,42.7869,42.7869,42.7869,CP,42.7869,0,93.0000,0.3000,93.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000
115,2025-10-05,20:00,42.5674,26.5222,10.1563,745.0070,73.3544,671.6526,11.4000,50.6583,42.9202,50.6583,CP,42.9202,1,117.0000,3.3000,117.0000,3.3000,0.0000,10.0000,23.0000,1013.6210,14.5239
